igralec,polozaj
184035,LWB
184037,CB
184037,RB
184082,CB
184087,CB
184089,CAM
184089,RW
184111,ST
184133,CAM
184133,CDM
184133,CM
184134,CDM
184134,CM
184144,CAM
184176,LM
184176,RM
184176,ST
184183,CB
184190,CB
184200,ST
184252,ST
184274,CB
184337,CM
184337,RM
184337,ST
184344,CB
184392,LB
184392,RB
184431,CAM
184431,CF
184432,LB
184432,RB
184436,GK
184457,RM
184457,ST
184469,CDM
184469,CM
184472,CB
184472,LB
184484,CAM
184484,CM
184501,RB
184575,LM
184575,RM
184575,RW
184606,CDM
184606,CM
184626,CB
184643,LB
184703,CAM
184703,CDM
184703,CM
184716,CDM
184716,CM
184749,CM
184789,ST
184823,CM
184823,LW
184823,RW
184826,CDM
184826,CM
184858,LW
184858,RW
184858,ST
184873,CB
184881,CAM
184881,RM
184881,RW
184941,LM
184941,LW
184942,CAM
184990,RB
184990,RM
184990,RWB
184999,CDM
184999,CM
185010,CB
185020,RM
185020,RW
185068,RW
185103,LB
185122,GK
185132,CDM
185132,CM
185163,CB
185174,CDM
185174,CM
185181,GK
185195,ST
185199,ST
185204,CB
185221,CB
185221,CDM
185239,CB
185349,CB
185349,RB
185405,GK
185422,CF
185422,LM
185422,ST
185427,GK
185431,ST
186098,GK
186115,LB
186115,LWB
186130,CB
186132,CM
186140,LW
186140,ST
186143,CM
186146,LM
186146,ST
186148,GK
186153,GK
186156,CB
186156,RB
186158,CB
186190,LB
186197,CAM
186197,RM
186296,CB
186296,CDM
186302,RM
186302,RW
186307,CAM
186307,CF
186307,LM
186330,RB
186330,RM
186345,RB
186347,LB
186347,LM
186351,CDM
186392,RB
186395,LWB
186395,RM
186405,CAM
186405,LW
186405,ST
186408,CAM
186408,CF
186408,RM
186456,CB
186519,CB
186521,CB
186537,ST
186547,CB
186551,CM
186551,RB
186556,CAM
186561,CAM
186561,CM
186569,GK
186589,CDM
186589,CM
186598,LB
186598,RB
186598,RWB
186614,ST
186648,CB
186648,LB
186650,CAM
186650,ST
186681,GK
186682,CDM
186684,CB
186695,CB
186801,CDM
186801,CM
186881,CM
186905,ST
186935,CDM
186935,CM
186942,CDM
186942,CM
186954,ST
186961,ST
186982,LB
186982,LM
186990,GK
186992,CM
186992,LB
186992,RB
187033,CB
187043,CDM
187043,CM
187052,CDM
187052,CM
187072,CAM
187072,ST
187132,CB
187205,CB
187205,LB
187298,CB
187323,CB
187421,CDM
187421,CM
187491,ST
187517,CB
187533,LM
187533,RM
187533,ST
187598,CB
187601,GK
187607,ST
187702,CAM
187702,CM
187702,LM
187735,CAM
187735,CDM
187735,CM
187754,CAM
187754,RM
187924,CAM
187924,CM
187936,CDM
187936,CM
187939,CAM
187939,LM
187961,CAM
187961,CDM
187961,CM
188000,CDM
188038,CB
188038,LB
188038,RB
188041,CDM
188041,CM
188042,LW
188042,ST
188044,LM
