id,ime_in_priimek,državljanstvo,ocena,potencial,starost,iskanja,klub
177712,Kévin Monnet-Paquet,France,72,72,32,0,AS Saint-Étienne
177723,Fabricio,Spain,74,74,32,1,Fulham
177765,Papiss Demba Cissé,Senegal,74,74,35,3,Fenerbahçe SK
177766,Gaëtan Bong,Cameroon,71,71,32,2,Nottingham Forest
177782,Hakan Özmert,Turkey,71,71,35,0,Antalyaspor
177790,Artur Jędrzejczyk,Poland,72,72,32,0,Legia Warszawa
177896,Mario Vrančić,Bosnia & Herzegovina,72,72,31,1,Norwich City
177922,Kamil Grosicki,Poland,74,74,32,1,West Bromwich Albion
177983,Cristian Zapata,Colombia,74,74,34,2,Genoa
178005,Rui Patrício,Portugal,84,84,32,6,Wolverhampton Wanderers
178007,Miguel Veloso,Portugal,77,77,34,0,Hellas Verona
178031,Paul Baysse,France,71,71,32,0,FC Girondins de Bordeaux
178051,Lucas Deaux,France,73,73,31,1,Nîmes Olympique
178086,Adán,Spain,80,80,33,3,Sporting CP
